gross_income,deductions,taxes_paid,refund_amt,taxes_owed,isFraud
100000,100000,0,100000,0,1
200000,100000,100,50000,0,1
50000,5000,1000,500,0,0
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
2000000,1000000,1000000,100000,0,1
100000,100000,0,100000,0,1
200000,100000,100,50000,0,1
50000,5000,1000,500,0,0
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
2000000,1000000,1000000,100000,0,1
100000,100000,0,100000,0,1
200000,100000,100,50000,0,1
50000,5000,1000,500,0,0
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
2000000,1000000,1000000,100000,0,1
100000,100000,0,100000,0,1
200000,100000,100,50000,0,1
50000,5000,1000,500,0,0
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
2000000,1000000,1000000,100000,0,1
100000,100000,0,100000,0,1
200000,100000,100,50000,0,1
50000,5000,1000,500,0,0
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
2000000,1000000,1000000,100000,0,1
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
100000,100000,0,100000,0,1
200000,100000,100,50000,0,1
50000,5000,1000,500,0,0
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
2000000,1000000,1000000,100000,0,1
100000,100000,0,100000,0,1
200000,100000,100,50000,0,1
50000,5000,1000,500,0,0
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
2000000,1000000,1000000,100000,0,1
100000,100000,0,100000,0,1
200000,100000,100,50000,0,1
50000,5000,1000,500,0,0
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
2000000,1000000,1000000,100000,0,1
100000,100000,0,100000,0,1
200000,100000,100,50000,0,1
50000,5000,1000,500,0,0
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
2000000,1000000,1000000,100000,0,1
100000,100000,0,100000,0,1
200000,100000,100,50000,0,1
50000,5000,1000,500,0,0
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
2000000,1000000,1000000,100000,0,1
45000,3500,100,0,400,0
25000,1500,0,1500,0,0
50000,5000,500,0,4500,0
500000,250000,50,50000,0,1
1000000,250000,100000,0,10000,0
